,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
1561,MACS,101,57016,Intro to the Media,2,19,4,2,0,0,0,0,0,0,0,0,0,0,3.9,"Kristensen, Morten Stinus",660.0,1460.0,TR,Gregory Hall
1562,MACS,101,64654,Intro to the Media,3,14,10,1,0,0,0,0,0,1,0,0,2,0,3.53,"Yang, Chamee",900.0,1070.0,TR,Gregory Hall
1563,MACS,101,57018,Intro to the Media,12,8,0,0,5,1,0,1,0,0,0,0,0,0,3.69,"Robinson, Jessica L",1470.0,830.0,TR,Gregory Hall
1564,MACS,101,57024,Intro to the Media,4,19,2,0,2,0,0,0,0,0,0,0,0,0,3.9,"Ahn, Sungyong",1470.0,830.0,MW,Gregory Hall
1565,MACS,101,57025,Intro to the Media,10,10,5,1,0,0,0,0,1,0,0,0,0,0,3.83,"Prieto Nanez, Fabian M",480.0,560.0,TR,Gregory Hall
1566,MACS,101,63475,Intro to the Media,10,10,0,1,3,1,0,1,0,0,1,0,0,0,3.63,"Robinson, Jessica L",570.0,650.0,TR,Lincoln Hall
1567,MACS,101,63477,Intro to the Media,2,14,5,2,1,0,0,0,0,0,0,1,0,0,3.71,"Ahn, Sungyong",660.0,1460.0,MW,G Foreign Languages Building
1568,MACS,224,64404,Sportsmedia Technology Culture,1,22,1,1,3,0,0,1,1,0,0,0,0,0,3.72,"Cole, Cheryl L",570.0,650.0,TR,Gregory Hall
1569,MACS,262,61760,Survey of World Cinema II,0,10,10,8,2,1,1,1,0,0,0,0,0,0,3.53,"Knipp, Jonathan A",600.0,680.0,T,Lincoln Hall
1570,MACS,264,57030,Creative and Info Economies,0,6,3,3,5,7,2,5,0,1,0,2,2,0,2.67,"Grosse, Meghan L",840.0,1010.0,R,David Kinley Hall
1571,MACS,295,65584,A World of Death & Blood,0,13,11,3,2,0,0,0,0,0,0,0,0,0,3.74,"Knipp, Jonathan A",900.0,1070.0,R,Gregory Hall
1572,MACS,320,57032,Popular Culture,0,3,6,5,6,4,1,0,0,0,0,0,0,0,3.27,"Hay, James W",570.0,650.0,TR,Gregory Hall
1573,MACS,321,66402,"Censorship, Cinema, & Culture",2,1,3,3,2,1,0,1,3,2,3,2,4,0,2.06,"Kozma, Alicia",1020.0,1190.0,MW,Gregory Hall
1574,MACS,326,57049,"New Media, Culture & Society",5,22,5,0,0,0,0,0,2,0,0,0,2,1,3.6,"Baird, Robert T",900.0,950.0,W,Armory
1575,MACS,351,57061,Social Aspects of Media,6,15,9,9,9,5,4,4,3,0,1,0,0,0,3.24,"Reisner, Ann E",1470.0,830.0,TR,Lincoln Hall
1576,MACS,356,57063,Sex & Gender in Popular Media,3,26,19,15,9,4,1,1,2,0,0,0,2,1,3.43,"Ruehlicke, Andrea",840.0,920.0,TR,Armory
1577,MATH,103,37825,Theory of Arithmetic,2,12,1,1,13,4,1,7,0,0,1,0,0,0,3.1,"Hoffmeister, April M",660.0,1460.0,TR,Loomis Laboratory
